"rule","name","severity","type","tags","remediation","description"
"python:S3516","Functions returns should not be invariant","BLOCKER","CODE_SMELL","","",""
"python:S1845","Methods and field names should not differ only by capitalization","BLOCKER","CODE_SMELL","","",""
"typescript:S3516","Function returns should not be invariant","BLOCKER","CODE_SMELL","","",""
"typescript:S2871","""Array.prototype.sort()"" and ""Array.prototype.toSorted()"" should use a compare function","CRITICAL","BUG","","",""
"python:S7497","Cancellation exceptions should be re-raised after cleanup","MAJOR","BUG","","",""
"python:S7503","Async functions should use async features","MINOR","CODE_SMELL","","",""
"python:S7487","Async functions should not contain synchronous subprocess calls","MAJOR","BUG","","",""
"python:S7502","Asyncio tasks should be saved to prevent premature garbage collection","MAJOR","BUG","","",""
"typescript:S1082","Mouse events should have corresponding keyboard events","MINOR","BUG","","",""
"typescript:S1128","Unnecessary imports should be removed","MINOR","CODE_SMELL","","",""
"typescript:S4325","Redundant casts and non-null assertions should be avoided","MINOR","CODE_SMELL","","",""
"typescript:S6551","Objects and classes converted or coerced to strings should define a ""toString()"" method","MINOR","CODE_SMELL","","",""
"typescript:S6582","Optional chaining should be preferred","MAJOR","CODE_SMELL","","",""
"typescript:S6848","Non-interactive DOM elements should not have an interactive handler","MAJOR","CODE_SMELL","","",""
"typescript:S7773","Number static methods and properties should be preferred over global equivalents","MINOR","CODE_SMELL","","",""
"python:S3457","String formatting should be used correctly","MAJOR","CODE_SMELL","","",""
"python:S1066","Mergeable ""if"" statements should be combined","MAJOR","CODE_SMELL","","",""
"python:S1481","Unused local variables should be removed","MINOR","CODE_SMELL","","",""
"python:S5713","A subclass should not be in the same ""except"" statement as a parent class","MINOR","CODE_SMELL","","",""
"python:S1172","Unused function parameters should be removed","MAJOR","CODE_SMELL","","",""
"python:S5890","Values assigned to variables should match their type annotations","MAJOR","CODE_SMELL","","",""
"python:S7483","Asynchronous functions should not accept timeout parameters","MAJOR","CODE_SMELL","","",""
"python:S1871","Two branches in a conditional structure should not have exactly the same implementation","MAJOR","CODE_SMELL","","",""
"python:S6353","Regular expression quantifiers and character classes should be used concisely","MINOR","CODE_SMELL","","",""
"python:S7504","When iterating over an iterable object, using ""list()"" should be avoided","MINOR","CODE_SMELL","","",""
"python:S5850","Alternatives in regular expressions should be grouped when used with anchors","MAJOR","BUG","","",""
"python:S2737","""except"" clauses should do more than raise the same issue","MINOR","CODE_SMELL","","",""
"python:S6903","Using timezone-aware ""datetime"" objects should be preferred over using ""datetime.datetime.utcnow"" and ""datetime.datetime.utcfromtimestamp""","CRITICAL","CODE_SMELL","","",""
"python:S107","Functions, methods and lambdas should not have too many parameters","MAJOR","CODE_SMELL","","",""
"typescript:S2486","Exceptions should not be ignored","MINOR","CODE_SMELL","","",""
"typescript:S6772","Spacing between inline elements should be explicit","MAJOR","CODE_SMELL","","",""
"typescript:S7781","Strings should use ""replaceAll()"" instead of ""replace()"" with global regex","MINOR","CODE_SMELL","","",""
"typescript:S6853","Label elements should have a text label and an associated control","MAJOR","CODE_SMELL","","",""
"typescript:S6844","Anchor tags should not be used as buttons","MAJOR","CODE_SMELL","","",""
"typescript:S7784","""structuredClone()"" should be used instead of other deep cloning methods","MINOR","CODE_SMELL","","",""
"typescript:S7748","Number literals should not have unnecessary decimal points or trailing zeros","MINOR","CODE_SMELL","","",""
"typescript:S4624","Template literals should not be nested","MAJOR","CODE_SMELL","","",""
"typescript:S7770","Wrapper functions around built-in type conversion functions should be avoided","MINOR","CODE_SMELL","","",""
"typescript:S2310","Loop counters should not be assigned within the loop body","MAJOR","CODE_SMELL","","",""
"typescript:S2004","Functions should not be nested too deeply","CRITICAL","CODE_SMELL","","",""
"typescript:S3696","Literals should not be thrown","MAJOR","CODE_SMELL","","",""
"typescript:S7747","Spread syntax should not be used unnecessarily","MINOR","CODE_SMELL","","",""
"typescript:S7781","Strings should use ""replaceAll()"" instead of ""replace()"" with global regex","MINOR","CODE_SMELL","","",""
